symbol,old_classification,new_classification,failure_reasons,survives_1_5x_costs,median_trade_return,profit_factor,top_positive_split_share,top_5_winners_profit_share
AAPL,rejected_no_edge,rejected_no_edge,failed_cost_stress|negative_median_trade|trade_concentrated|weak_profit_factor,False,-0.0018703551810678731,0.3127038027531511,0.0,0.5325636893732446
AMD,rejected_no_edge,rejected_no_edge,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor,False,-0.0023856084390918575,0.5175334916880673,1.0,0.32291993001541813
AMZN,rejected_costs_kill_edge,rejected_costs_kill_edge,failed_cost_stress|negative_median_trade|weak_profit_factor,False,-5.557936092415172e-06,0.8446644149622355,0.35652353067995535,0.44024064812648367
AVGO,rejected_no_edge,rejected_no_edge,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor,False,-0.0013516778667151952,0.5957722163012658,1.0,0.41625492539171927
BABA,rejected_no_edge,rejected_no_edge,failed_cost_stress|negative_median_trade,False,-0.0003118035647874384,1.1830938841207037,0.3971033181947341,0.48783298510327594
BAC,rejected_no_edge,rejected_no_edge,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor,False,-0.0007826690384359902,0.6246670904411239,1.0,0.35278086673577286
BMY,rejected_no_edge,rejected_no_edge,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor,False,-0.001400088638317032,0.5897777736321326,1.0,0.49588063659043685
C,rejected_costs_kill_edge,rejected_costs_kill_edge,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor,False,-0.0004624723168172862,0.840314631857131,0.7791634165818925,0.30747177171419154
CRM,candidate_intraday_test,interesting_intraday_needs_more_tests,failed_cost_stress|negative_median_trade|split_concentrated|trade_concentrated,False,-0.0007308071605386379,1.1512789332808524,0.909883870378577,0.5047883720248927
CSCO,rejected_costs_kill_edge,rejected_costs_kill_edge,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor,False,-0.00026656271491432015,0.7905745059841878,0.7323705062364878,0.3536706788660419
CSX,rejected_costs_kill_edge,rejected_costs_kill_edge,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor,False,-0.0008523004010811963,0.7216018599313033,1.0,0.4054550896813506
CVX,rejected_no_edge,rejected_no_edge,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor,False,-0.000863258011743695,0.7522326276702394,1.0,0.34145760133416386
DIS,rejected_no_edge,rejected_no_edge,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor,False,-0.0012493562105807543,0.7696318363072095,0.8044182013991805,0.42861715443736365
FCX,rejected_costs_kill_edge,rejected_costs_kill_edge,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor,False,-0.001791923333636647,0.9582115562946394,0.5204164720303002,0.3065226645864298
GLW,rejected_no_edge,rejected_no_edge,failed_cost_stress|negative_median_trade|weak_profit_factor,False,-0.001678320393289301,0.3651250815323546,0.0,0.4077446220865736
GOOG,rejected_no_edge,rejected_no_edge,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor,False,-0.0005648359278898063,0.4832291906678634,1.0,0.49325670727002296
GOOGL,rejected_no_edge,rejected_no_edge,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor,False,-0.0010461943412288233,0.4419358298998455,1.0,0.3506598139032263
HOOD,rejected_no_edge,rejected_no_edge,failed_cost_stress|split_concentrated|trade_concentrated,False,0.00019852686112131757,1.1834729975199794,0.5638823959002406,0.726495614146942
INTC,rejected_no_edge,rejected_no_edge,split_concentrated|trade_concentrated,True,3.0500157072455014e-05,1.2984532153692077,0.5602648786321399,0.5108193241418434
ITUB,rejected_no_edge,rejected_no_edge,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor,False,-0.001659328429223783,0.6700585319508289,1.0,0.27536867327756837
KLAC,rejected_no_edge,rejected_no_edge,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor,False,-0.001582562170091173,0.6755444230769824,1.0,0.36028146149886975
KO,rejected_no_edge,rejected_no_edge,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor,False,-0.0010676114893691802,0.4792179439859659,1.0,0.3471938801499367
LRCX,rejected_no_edge,rejected_no_edge,failed_cost_stress|split_concentrated|weak_profit_factor,False,0.000892956908799647,1.089170861638032,0.5287831459586546,0.3608533436085089
LYG,rejected_no_edge,rejected_no_edge,failed_cost_stress|negative_median_trade|split_concentrated|trade_concentrated|weak_profit_factor,False,-0.0010996975000001075,0.6999513763203649,1.0,0.5008143553628115
META,rejected_costs_kill_edge,rejected_costs_kill_edge,failed_cost_stress|negative_median_trade|split_concentrated|weak_profit_factor,False,-0.0005121444729557778,0.8188849058798398,0.8930569975406027,0.3768214285529036
